18368 - [2024-04-12 11:41:32,874] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:A
18404 - [2024-04-12 11:41:32,975] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:A
17480 - [2024-04-12 11:41:33,078] : DEBUG -> Tam_entrada: 100| T_execução: 0.000997781753540039 | Chamado pela 2 vez | Arquivo:A
17564 - [2024-04-12 11:41:33,180] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:A
17496 - [2024-04-12 11:41:33,278] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:A
9328 - [2024-04-12 11:41:33,381] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:A
7980 - [2024-04-12 11:41:33,486] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:A
17712 - [2024-04-12 11:41:33,600] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:A
17840 - [2024-04-12 11:41:33,701] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:A
156 - [2024-04-12 11:41:33,801] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:A
8748 - [2024-04-12 11:41:33,917] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:A
12988 - [2024-04-12 11:41:34,019] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:A
10272 - [2024-04-12 11:41:34,118] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:A
11888 - [2024-04-12 11:41:34,224] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025022029876708984 | Chamado pela 0 vez | Arquivo:A
5420 - [2024-04-12 11:41:34,333] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025064945220947266 | Chamado pela 1 vez | Arquivo:A
7908 - [2024-04-12 11:41:34,443] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025873184204101562 | Chamado pela 2 vez | Arquivo:A
11364 - [2024-04-12 11:41:34,555] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019974708557128906 | Chamado pela 3 vez | Arquivo:A
17996 - [2024-04-12 11:41:34,671] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002994537353515625 | Chamado pela 4 vez | Arquivo:A
5236 - [2024-04-12 11:41:34,789] : DEBUG -> Tam_entrada: 1000| T_execução: 0.005988359451293945 | Chamado pela 5 vez | Arquivo:A
7256 - [2024-04-12 11:41:34,900] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0030183792114257812 | Chamado pela 6 vez | Arquivo:A
18168 - [2024-04-12 11:41:35,007] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019948482513427734 | Chamado pela 7 vez | Arquivo:A
5088 - [2024-04-12 11:41:35,145] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019927024841308594 | Chamado pela 8 vez | Arquivo:A
5192 - [2024-04-12 11:41:35,252] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0035223960876464844 | Chamado pela 9 vez | Arquivo:A
2692 - [2024-04-12 11:41:35,363] : DEBUG -> Tam_entrada: 1000| T_execução: 0.006491661071777344 | Chamado pela 10 vez | Arquivo:A
18380 - [2024-04-12 11:41:35,469] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001995086669921875 | Chamado pela 11 vez | Arquivo:A
18416 - [2024-04-12 11:41:35,576] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0030286312103271484 | Chamado pela 12 vez | Arquivo:A
17512 - [2024-04-12 11:41:35,720] : DEBUG -> Tam_entrada: 10000| T_execução: 0.038545846939086914 | Chamado pela 0 vez | Arquivo:A
17544 - [2024-04-12 11:41:35,868] : DEBUG -> Tam_entrada: 10000| T_execução: 0.03922224044799805 | Chamado pela 1 vez | Arquivo:A
17536 - [2024-04-12 11:41:36,020] : DEBUG -> Tam_entrada: 10000| T_execução: 0.03646659851074219 | Chamado pela 2 vez | Arquivo:A
17476 - [2024-04-12 11:41:36,173] : DEBUG -> Tam_entrada: 10000| T_execução: 0.03756141662597656 | Chamado pela 3 vez | Arquivo:A
9328 - [2024-04-12 11:41:36,335] : DEBUG -> Tam_entrada: 10000| T_execução: 0.057027578353881836 | Chamado pela 4 vez | Arquivo:A
7980 - [2024-04-12 11:41:36,495] : DEBUG -> Tam_entrada: 10000| T_execução: 0.04904651641845703 | Chamado pela 5 vez | Arquivo:A
17712 - [2024-04-12 11:41:36,652] : DEBUG -> Tam_entrada: 10000| T_execução: 0.04240560531616211 | Chamado pela 6 vez | Arquivo:A
17840 - [2024-04-12 11:41:36,848] : DEBUG -> Tam_entrada: 10000| T_execução: 0.07187914848327637 | Chamado pela 7 vez | Arquivo:A
15068 - [2024-04-12 11:41:37,015] : DEBUG -> Tam_entrada: 10000| T_execução: 0.04701805114746094 | Chamado pela 8 vez | Arquivo:A
7888 - [2024-04-12 11:41:37,179] : DEBUG -> Tam_entrada: 10000| T_execução: 0.045609474182128906 | Chamado pela 9 vez | Arquivo:A
