16968 - [2024-04-12 11:42:35,280] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:A
13752 - [2024-04-12 11:42:35,381] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:A
17628 - [2024-04-12 11:42:35,492] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 2 vez | Arquivo:A
11044 - [2024-04-12 11:42:35,602] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:A
14924 - [2024-04-12 11:42:35,728] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:A
18324 - [2024-04-12 11:42:35,827] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:A
2356 - [2024-04-12 11:42:35,926] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:A
17220 - [2024-04-12 11:42:36,022] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:A
4512 - [2024-04-12 11:42:36,120] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:A
18296 - [2024-04-12 11:42:36,216] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:A
18272 - [2024-04-12 11:42:36,317] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:A
12404 - [2024-04-12 11:42:36,419] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:A
18268 - [2024-04-12 11:42:36,514] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:A
6356 - [2024-04-12 11:42:36,613] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002500772476196289 | Chamado pela 0 vez | Arquivo:A
12856 - [2024-04-12 11:42:36,710] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001989126205444336 | Chamado pela 1 vez | Arquivo:A
18220 - [2024-04-12 11:42:36,812] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019941329956054688 | Chamado pela 2 vez | Arquivo:A
12504 - [2024-04-12 11:42:36,908] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997304916381836 | Chamado pela 3 vez | Arquivo:A
5760 - [2024-04-12 11:42:37,006] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0029625892639160156 | Chamado pela 4 vez | Arquivo:A
4992 - [2024-04-12 11:42:37,112] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002529621124267578 | Chamado pela 5 vez | Arquivo:A
4108 - [2024-04-12 11:42:37,218] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019936561584472656 | Chamado pela 6 vez | Arquivo:A
3104 - [2024-04-12 11:42:37,325] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019941329956054688 | Chamado pela 7 vez | Arquivo:A
2692 - [2024-04-12 11:42:37,424] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0020270347595214844 | Chamado pela 8 vez | Arquivo:A
12008 - [2024-04-12 11:42:37,519] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019941329956054688 | Chamado pela 9 vez | Arquivo:A
8660 - [2024-04-12 11:42:37,614] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019981861114501953 | Chamado pela 10 vez | Arquivo:A
17572 - [2024-04-12 11:42:37,712] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001500844955444336 | Chamado pela 11 vez | Arquivo:A
7124 - [2024-04-12 11:42:37,808] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001992940902709961 | Chamado pela 12 vez | Arquivo:A
