18348 - [2024-04-12 11:41:32,782] : DEBUG -> Starting experiment execution
18348 - [2024-04-12 11:41:32,782] : DEBUG -> Using inputs: ['.\\input\\A_100.txt', '.\\input\\A_1000.txt', '.\\input\\A_10000.txt', '.\\input\\A_100000.txt', '.\\input\\D_100.txt', '.\\input\\D_1000.txt', '.\\input\\D_10000.txt', '.\\input\\D_100000.txt', '.\\input\\O_100.txt', '.\\input\\O_1000.txt', '.\\input\\O_10000.txt', '.\\input\\O_100000.txt']
18348 - [2024-04-12 11:41:32,784] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 0, | Type:A
18348 - [2024-04-12 11:41:32,884] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 1, | Type:A
18348 - [2024-04-12 11:41:32,984] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 2, | Type:A
18348 - [2024-04-12 11:41:33,088] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 3, | Type:A
18348 - [2024-04-12 11:41:33,190] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 4, | Type:A
18348 - [2024-04-12 11:41:33,288] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 5, | Type:A
18348 - [2024-04-12 11:41:33,394] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 6, | Type:A
18348 - [2024-04-12 11:41:33,497] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 7, | Type:A
18348 - [2024-04-12 11:41:33,611] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 8, | Type:A
18348 - [2024-04-12 11:41:33,711] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 9, | Type:A
18348 - [2024-04-12 11:41:33,811] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 10, | Type:A
18348 - [2024-04-12 11:41:33,927] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 11, | Type:A
18348 - [2024-04-12 11:41:34,028] : DEBUG -> Running mergesort algorithm on .\input\A_100.txt - Time 12, | Type:A
18348 - [2024-04-12 11:41:34,127] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 0, | Type:A
18348 - [2024-04-12 11:41:34,235] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 1, | Type:A
18348 - [2024-04-12 11:41:34,344] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 2, | Type:A
18348 - [2024-04-12 11:41:34,455] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 3, | Type:A
18348 - [2024-04-12 11:41:34,565] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 4, | Type:A
18348 - [2024-04-12 11:41:34,682] : DEBUG -> Running mergesort algorithm on .\input\A_1000.txt - Time 5, | Type:A
