17784 - [2024-04-12 11:42:06,529] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009982585906982422 | Chamado pela 0 vez | Arquivo:A
17628 - [2024-04-12 11:42:06,627] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:A
7356 - [2024-04-12 11:42:06,722] : DEBUG -> Tam_entrada: 100| T_execução: 0.0015804767608642578 | Chamado pela 2 vez | Arquivo:A
7840 - [2024-04-12 11:42:06,819] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:A
17892 - [2024-04-12 11:42:06,920] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:A
6412 - [2024-04-12 11:42:07,019] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:A
18148 - [2024-04-12 11:42:07,127] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:A
18284 - [2024-04-12 11:42:07,222] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:A
18264 - [2024-04-12 11:42:07,321] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009975433349609375 | Chamado pela 8 vez | Arquivo:A
18296 - [2024-04-12 11:42:07,422] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:A
18260 - [2024-04-12 11:42:07,518] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:A
18232 - [2024-04-12 11:42:07,617] : DEBUG -> Tam_entrada: 100| T_execução: 0.000997304916381836 | Chamado pela 11 vez | Arquivo:A
17776 - [2024-04-12 11:42:07,710] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:A
5236 - [2024-04-12 11:42:07,814] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0020296573638916016 | Chamado pela 0 vez | Arquivo:A
3104 - [2024-04-12 11:42:07,909] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019936561584472656 | Chamado pela 1 vez | Arquivo:A
11100 - [2024-04-12 11:42:08,008] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993894577026367 | Chamado pela 2 vez | Arquivo:A
3624 - [2024-04-12 11:42:08,110] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0029916763305664062 | Chamado pela 3 vez | Arquivo:A
15240 - [2024-04-12 11:42:08,232] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002530336380004883 | Chamado pela 4 vez | Arquivo:A
17516 - [2024-04-12 11:42:08,331] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0029914379119873047 | Chamado pela 5 vez | Arquivo:A
17556 - [2024-04-12 11:42:08,431] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0029909610748291016 | Chamado pela 6 vez | Arquivo:A
6104 - [2024-04-12 11:42:08,525] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019941329956054688 | Chamado pela 7 vez | Arquivo:A
18416 - [2024-04-12 11:42:08,621] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993417739868164 | Chamado pela 8 vez | Arquivo:A
660 - [2024-04-12 11:42:08,716] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019974708557128906 | Chamado pela 9 vez | Arquivo:A
9236 - [2024-04-12 11:42:08,810] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019936561584472656 | Chamado pela 10 vez | Arquivo:A
17476 - [2024-04-12 11:42:08,915] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001993417739868164 | Chamado pela 11 vez | Arquivo:A
6932 - [2024-04-12 11:42:09,020] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0029921531677246094 | Chamado pela 12 vez | Arquivo:A
18344 - [2024-04-12 11:42:09,166] : DEBUG -> Tam_entrada: 10000| T_execução: 0.027217626571655273 | Chamado pela 0 vez | Arquivo:A
2564 - [2024-04-12 11:42:09,295] : DEBUG -> Tam_entrada: 10000| T_execução: 0.027173995971679688 | Chamado pela 1 vez | Arquivo:A
3468 - [2024-04-12 11:42:09,421] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025064706802368164 | Chamado pela 2 vez | Arquivo:A
8644 - [2024-04-12 11:42:09,564] : DEBUG -> Tam_entrada: 10000| T_execução: 0.044446468353271484 | Chamado pela 3 vez | Arquivo:A
17792 - [2024-04-12 11:42:09,696] : DEBUG -> Tam_entrada: 10000| T_execução: 0.027300596237182617 | Chamado pela 4 vez | Arquivo:A
17712 - [2024-04-12 11:42:09,829] : DEBUG -> Tam_entrada: 10000| T_execução: 0.033669471740722656 | Chamado pela 5 vez | Arquivo:A
17684 - [2024-04-12 11:42:09,968] : DEBUG -> Tam_entrada: 10000| T_execução: 0.028039216995239258 | Chamado pela 6 vez | Arquivo:A
9872 - [2024-04-12 11:42:10,102] : DEBUG -> Tam_entrada: 10000| T_execução: 0.029793739318847656 | Chamado pela 7 vez | Arquivo:A
17164 - [2024-04-12 11:42:10,230] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025471210479736328 | Chamado pela 8 vez | Arquivo:A
16924 - [2024-04-12 11:42:10,360] : DEBUG -> Tam_entrada: 10000| T_execução: 0.026726961135864258 | Chamado pela 9 vez | Arquivo:A
17096 - [2024-04-12 11:42:10,488] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025998830795288086 | Chamado pela 10 vez | Arquivo:A
16756 - [2024-04-12 11:42:10,617] : DEBUG -> Tam_entrada: 10000| T_execução: 0.026735782623291016 | Chamado pela 11 vez | Arquivo:A
5880 - [2024-04-12 11:42:10,739] : DEBUG -> Tam_entrada: 10000| T_execução: 0.026081323623657227 | Chamado pela 12 vez | Arquivo:A
2920 - [2024-04-12 11:42:11,276] : DEBUG -> Tam_entrada: 100000| T_execução: 0.4046616554260254 | Chamado pela 0 vez | Arquivo:A
17620 - [2024-04-12 11:42:11,782] : DEBUG -> Tam_entrada: 100000| T_execução: 0.37383508682250977 | Chamado pela 1 vez | Arquivo:A
13872 - [2024-04-12 11:42:12,250] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3392469882965088 | Chamado pela 2 vez | Arquivo:A
5420 - [2024-04-12 11:42:12,734] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3521275520324707 | Chamado pela 3 vez | Arquivo:A
17972 - [2024-04-12 11:42:13,278] : DEBUG -> Tam_entrada: 100000| T_execução: 0.38994717597961426 | Chamado pela 4 vez | Arquivo:A
17680 - [2024-04-12 11:42:13,775] : DEBUG -> Tam_entrada: 100000| T_execução: 0.37461304664611816 | Chamado pela 5 vez | Arquivo:A
12404 - [2024-04-12 11:42:14,252] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3452773094177246 | Chamado pela 6 vez | Arquivo:A
18244 - [2024-04-12 11:42:14,756] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3709452152252197 | Chamado pela 7 vez | Arquivo:A
9864 - [2024-04-12 11:42:15,266] : DEBUG -> Tam_entrada: 100000| T_execução: 0.36791539192199707 | Chamado pela 8 vez | Arquivo:A
18184 - [2024-04-12 11:42:15,770] : DEBUG -> Tam_entrada: 100000| T_execução: 0.3785696029663086 | Chamado pela 9 vez | Arquivo:A
16508 - [2024-04-12 11:42:16,236] : DEBUG -> Tam_entrada: 100000| T_execução: 0.34182310104370117 | Chamado pela 10 vez | Arquivo:A
16264 - [2024-04-12 11:42:16,720] : DEBUG -> Tam_entrada: 100000| T_execução: 0.35275888442993164 | Chamado pela 11 vez | Arquivo:A
8660 - [2024-04-12 11:42:17,265] : DEBUG -> Tam_entrada: 100000| T_execução: 0.41115260124206543 | Chamado pela 12 vez | Arquivo:A
18388 - [2024-04-12 11:42:17,366] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:D
17568 - [2024-04-12 11:42:17,461] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:D
6148 - [2024-04-12 11:42:17,556] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 2 vez | Arquivo:D
4556 - [2024-04-12 11:42:17,649] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:D
16344 - [2024-04-12 11:42:17,773] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:D
17528 - [2024-04-12 11:42:17,872] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:D
17604 - [2024-04-12 11:42:17,967] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:D
6220 - [2024-04-12 11:42:18,060] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:D
10320 - [2024-04-12 11:42:18,156] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:D
13196 - [2024-04-12 11:42:18,249] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:D
18360 - [2024-04-12 11:42:18,345] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:D
